iter	Passed	Remaining
423	2160	2935
424	2166	2931
425	2172	2927
426	2178	2923
427	2183	2918
428	2188	2913
429	2195	2909
430	2200	2904
431	2205	2899
432	2211	2895
433	2216	2890
434	2221	2885
435	2226	2880
436	2231	2875
437	2236	2870
438	2242	2865
439	2247	2860
440	2252	2855
441	2259	2851
442	2264	2846
443	2268	2841
444	2274	2837
445	2279	2831
446	2284	2826
447	2290	2821
448	2295	2816
449	2300	2811
450	2306	2807
451	2311	2802
452	2318	2799
453	2325	2796
454	2330	2791
455	2336	2787
456	2343	2783
457	2349	2780
458	2356	2777
459	2363	2774
460	2371	2772
461	2377	2768
462	2383	2764
463	2391	2762
464	2400	2761
465	2407	2758
466	2413	2754
467	2420	2751
468	2428	2749
469	2437	2748
470	2445	2746
471	2454	2745
472	2462	2743
473	2473	2745
474	2479	2740
475	2486	2737
476	2492	2732
477	2501	2731
478	2508	2728
479	2517	2727
480	2530	2729
481	2535	2725
482	2544	2724
483	2553	2722
484	2560	2719
485	2567	2715
486	2576	2713
487	2584	2711
488	2590	2707
489	2597	2703
490	2605	2700
491	2610	2695
492	2618	2693
493	2624	2688
494	2631	2685
495	2637	2680
496	2645	2677
497	2652	2673
498	2660	2671
499	2666	2666
500	2672	2662
501	2680	2659
502	2688	2655
503	2696	2653
504	2703	2649
505	2713	2649
506	2719	2644
507	2725	2639
508	2732	2636
509	2739	2632
510	2748	2629
511	2754	2625
512	2763	2623
513	2769	2618
514	2777	2615
515	2784	2611
516	2790	2606
517	2798	2603
518	2805	2599
519	2814	2597
520	2820	2593
521	2829	2591
522	2837	2587
523	2846	2585
524	2853	2582
525	2862	2579
526	2870	2576
527	2879	2573
528	2885	2568
529	2895	2567
530	2901	2562
531	2909	2559
532	2915	2554
533	2922	2549
534	2940	2556
535	2947	2551
536	2956	2548
537	2962	2544
538	2968	2538
539	2977	2536
540	2984	2531
541	2992	2528
542	2999	2524
543	3007	2520
544	3014	2516
545	3020	2511
546	3030	2509
547	3038	2506
548	3045	2501
549	3051	2496
550	3060	2493
551	3066	2488
552	3073	2484
553	3079	2479
554	3086	2475
555	3092	2469
556	3098	2464
557	3105	2460
558	3111	2454
559	3116	2449
560	3122	2443
561	3127	2437
562	3133	2431
563	3139	2426
564	3144	2420
565	3150	2415
566	3155	2409
567	3160	2403
568	3166	2398
569	3172	2392
570	3177	2387
571	3183	2381
572	3188	2376
573	3193	2369
574	3199	2364
575	3204	2359
576	3209	2352
577	3216	2348
578	3221	2342
579	3226	2336
580	3231	2330
581	3236	2324
582	3241	2318
583	3249	2314
584	3254	2308
585	3259	2302
586	3264	2297
587	3269	2291
588	3274	2285
589	3281	2280
590	3286	2274
591	3290	2268
592	3298	2264
593	3304	2258
594	3309	2252
595	3315	2247
596	3320	2241
597	3326	2236
598	3332	2230
599	3338	2225
600	3344	2220
601	3350	2214
602	3356	2209
603	3363	2205
604	3369	2199
605	3376	2195
606	3384	2191
607	3390	2185
608	3397	2181
609	3403	2176
610	3412	2172
611	3418	2167
612	3427	2163
613	3433	2158
614	3440	2153
615	3447	2148
616	3452	2143
617	3461	2139
618	3465	2133
619	3470	2126
620	3475	2120
621	3479	2114
622	3483	2107
623	3487	2101
624	3492	2095
625	3496	2089
626	3500	2082
627	3504	2075
628	3508	2069
629	3512	2062
630	3515	2055
631	3519	2049
632	3524	2043
633	3529	2037
634	3532	2030
635	3536	2024
636	3540	2017
637	3544	2011
638	3547	2004
639	3551	1997
640	3556	1991
641	3559	1985
642	3563	1978
643	3567	1971
644	3572	1966
645	3576	1959
646	3579	1952
647	3582	1946
648	3587	1940
649	3591	1933
650	3594	1927
651	3598	1920
652	3601	1914
653	3605	1907
654	3609	1900
655	3612	1894
656	3615	1887
657	3619	1881
658	3623	1875
659	3627	1868
660	3630	1861
661	3635	1856
662	3638	1849
663	3642	1843
664	3645	1836
665	3649	1830
666	3653	1823
667	3656	1817
668	3660	1810
669	3663	1804
670	3668	1798
671	3672	1792
672	3675	1786
673	3679	1779
674	3683	1773
675	3688	1767
676	3692	1761
677	3695	1755
678	3700	1749
679	3704	1743
680	3708	1737
681	3713	1731
682	3718	1726
683	3722	1719
684	3726	1713
685	3729	1707
686	3734	1701
687	3738	1695
688	3741	1688
689	3744	1682
690	3749	1676
691	3753	1670
692	3756	1664
693	3760	1658
694	3764	1652
695	3768	1646
